address,location/lat,location/lng,name,numberOfGuests,pricing/nights,pricing/rate/amount,pricing/rate/amountFormatted,pricing/rateType,pricing/totalPrice/accommodation,pricing/totalPrice/amount,pricing/totalPrice/amountFormatted,pricing/totalPrice/cleaningFee,pricing/totalPrice/currency,pricing/totalPrice/guestFee,primaryHost/badges/0,primaryHost/badges/1,roomType,stars,stand address,praia,price per guest,price per night,norm price per guest,reviews numerical,score
"Recife, Pernambuco, Brazil",-8.13317,-34.90559,3 /2 The Heart of Boa Viagem por trás to Mar Hotel,5,3,281.33,R$844,nightly,610,844,R$844,130.0,BRL,104.0,62 Reviews,Identity verified,Entire rental unit,4.67,Recife,0,56.267,281.333,0.995,62.0,8.198
"Parnamirim, Pernambuco, Brazil",-8.0318,-34.91157,Conforto em amplo apt perto do parque e Casa Forte,6,3,494.67,R$494.67,nightly,1200,1484,"R$1,484",100.0,BRL,184.0,61 Reviews,Identity verified,Entire rental unit,4.95,Parnamirim,0,82.444,494.667,0.993,61.0,8.181
"Casa Forte, Pernambuco, Brazil",-8.02957,-34.91817,Apartamento inteiro com self check in - Casa Forte,4,3,293.0,R$879,nightly,630,879,R$879,140.0,BRL,109.0,58 Reviews,Identity verified,Entire condo,4.98,Casa Forte,0,73.25,293.0,0.994,58.0,7.89
"Recife, Pernambuco, Brazil",-8.129,-34.903,Ramon Hostel Bar,9,3,62.67,R$188,nightly,165,188,R$188,,BRL,23.0,59 Reviews,Identity verified,Shared room in bed and breakfast,4.58,Recife,0,6.963,62.667,0.999,59.0,7.873
"Boa Vista, Pernambuco, Brazil",-8.04941,-34.891,Hostel e Pousada Boa Vista,15,3,56.0,R$168,nightly,147,168,R$168,,BRL,21.0,53 Reviews,Identity verified,Shared room in hostel,4.88,Boa Vista,0,3.733,56.0,1.0,53.0,7.364
"Boa Vista, Pernambuco, Brazil",-8.05958,-34.88034,Quarto aconchegante na Boa Vista,2,3,91.33,R$274,nightly,240,274,R$274,,BRL,34.0,50 Reviews,Identity verified,Private room in rental unit,5.0,Boa Vista,0,45.667,91.333,0.996,50.0,7.098
"Várzea, Pernambuco, Brazil",-8.04612,-34.94662,um quarto à 200 Metros Da UFPE,3,3,101.67,R$305,nightly,240,305,R$305,27.0,BRL,38.0,47 Reviews,Identity verified,Private room in rental unit,4.98,Várzea,0,33.889,101.667,0.997,47.0,6.792
"Parnamirim, Pernambuco, Brazil",-8.0333,-34.91056,Flat Beach Class Jaqueira,4,3,270.0,R$810,nightly,610,810,R$810,100.0,BRL,100.0,45 Reviews,Identity verified,Entire rental unit,4.93,Parnamirim,0,67.5,270.0,0.995,45.0,6.576
"Boa Viagem, Pernambuco, Brazil",-8.12814,-34.90386,Boa Viagem/cômodo duplo (cama+bicama)/qto Recife,2,3,106.67,R$320,nightly,240,320,R$320,40.0,BRL,40.0,43 Reviews,Identity verified,Private room in rental unit,5.0,Boa Viagem,1,53.333,106.667,0.996,43.0,6.398
"Cordeiro, Pernambuco, Brazil",-8.04726,-34.93219,BOM DE + PRÓXIMO A UFPE,5,3,285.33,R$856,nightly,600,856,R$856,150.0,BRL,106.0,43 Reviews,Identity verified,Entire rental unit,5.0,Cordeiro,0,57.067,285.333,0.995,43.0,6.397
